01/2017;
18;Último dia para cadastramento de seguro de Estágios a serem realizados em fevereiro
23;Último dia para entrega da frequência de Monitoria na PREG
02/2017;
01;Reinício das aulas do SEGUNDO semestre letivo de 2016
17;Data limite para abertura de processo referente às Atividades Acadêmicas Curriculares Complementares (AACC)
18;Último dia para cadastramento dos seguros de estágios a serem realizados em março
21;Último dia para entrega da frequência de Monitoria na PREG
28;Carnaval
03/2017;
01;Cinzas
06-11;PERÍODO SUGERIDO PARA REALIZAÇÃO DA 2ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
18;Último dia para cadastramento dos seguros de estágios a serem realizados em abril
20-25;PERÍODO PARA REALIZAÇÃO DA 3ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
21;Último dia para entrega da frequência de Monitoria na PREG
22;Último dia para defesa de ESO e ou monografia referente ao SEGUNDO semestre de 2016
23;Término do SEGUNDO semestre letivo de 2016
04/2017;
01;Início da autoavaliação institucional SIG@, para os estudantes, docentes e técnicos administrativos em educação (Sede, UAG, UAST e UACSA)
03-08;Provas finais
14;Sexta-feira da Paixão de Cristo
15;Data limite para inserção de nota das avaliações finais no SIG@
17;Previsão do lançamento dos Editais de Assistência Estudantil em www.progest.ufrpe.br
17-18;Período de matrícula para ingressantes via Processo Seletivo EXTRA (2017.1) nas coordenações de cursos
18;Último dia para cadastramento dos seguros de estágios a serem realizados em maio
19-20;Período de matrícula para alunos acompanhados nas coordenações de cursos
21;Feriado nacional: Tiradentes
24;Último dia para entrega da frequência de monitoria na PREG
27-30;Período de matrícula para alunos regulares. Deverá ser impresso ou anotado o protocolo do requerimento de matrícula, emitido pelo SIG@, para eventual comprovação futura
05/2017;
01;Feriado nacional: Dia do trabalhador
02;Matrícula de retardatários. Deverá ser impresso ou anotado o protocolo do requerimento de matrícula, emitido pelo SIG@, para eventual comprovação futura
02;Início do PRIMEIRO semestre letivo de 2017
02;Aula inaugural da SEDE
02-22;Período de solicitação de dispensa de disciplina para o primeiro semestre letivo de 2017
03;Aula inaugural da UAG
03;Matrícula em disciplinas isoladas no DRCA - primeiro semestre letivo de 2017
04;Aula inaugural da UAST
06;Feriado municipal em Serra Talhada
08-10;Reajuste de matrícula
18;Último dia para cadastramento dos seguros de estágios a serem realizados em junho
22;Último dia para entrega da frequência de monitoria na PREG
22-31;Cancelamento de disciplinas e trancamento de matrícula via SIG@
06/2017;
01-02;Cancelamento de disciplinas e trancamento de matrícula via SIG@
05;Colação de Grau Unificada 2016.2 Sede
07;Colação de Grau Unificada 2016.2 UAG
13;Feriado municipal em Garanhuns e no Cabo de Santo de Santo Agostinho
13;Colação de Grau Unificada 2016.2 UAST
18;Último dia para cadastramento dos seguros de estágios a serem realizados em julho
21;Último dia para entrega da frequência de monitoria na PREG
24;Feriado Regional: São João
26-30;PERÍODO PARA REALIZAÇÃO DA 1ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
07/2017;
01;PERÍODO PARA REALIZAÇÃO DA 1ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
14;Prazo final para os Colegiados de Coordenação Didática (CCD) devolverem os processos de dispensa de disciplina
14;Data limite para abertura de processo referente às Atividades Acadêmicas Curriculares Complementares (AACC)
17-21;Solicitação de inscrição em disciplinas isoladas para 2017.2
18;Último dia para cadastramento dos seguros de estágios a serem realizados em agosto
21;Último dia para entrega da frequência de monitoria na PREG
28;Data limite para solicitar ao DRCA mudança de turno para o semestre letivo de 2017.2
31;Data limite para solicitar ao DRCA reintegração para efeito de colação de grau referente ao semestre letivo de 2017.1
31;Último dia para realização da Autoavaliação Institucional via SIG@
08/2017;
01;Data limite para requerer Regime de Movimentação Temporária (REMT) para o período letivo de 2017.2
01;PREVISÃO para publicação do edital do Processo Seletivo Extra 2017.2 em www.ufrpe.br
07-12;PERÍODO SUGERIDO PARA REALIZAÇÃO DA 2ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
