CÓDIGO;COMPONENTE CURRICULAR;TURMA;HORARIO 1;HORARIO 2;HORARIO 3;PERÍODO;TIPO;DEPARTAMENTO;LOCAL;VAGAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4219;ADMINISTRAÇÃO ESTRATÉGICA;AD1;TER - 20:10 as 21:50;SEX - 18:30 as 20:10;;7;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4212;ADMINISTRAÇÃO PÚBLICA;AD1;SEG - 20:10 as 21:50;SEX - 18:30 as 21:50;;5;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4213;ANÁLISE DE CUSTOS;AD1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;5;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4210;COMPORTAMENTO ORGANIZACIONAL;AD1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;5;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4205;ECONOMIA DE EMPRESAS;AD1;QUA - 20:10 as 21:50;SEX - 18:30 as 20:10;;3;;DECON;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4215;GESTÃO ADMINISTRATIVA DA PRODUÇÃO;AD1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;7;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4234;GESTÃO DE MICRO E PEQUENAS EMPRESAS;AD1;QUA - 18:30 as 20:10;SEX - 20:10 as 21:50;;7;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4237;GESTÃO DE PESSOAS II;AD1;SEG - 20:10 as 21:50;QUI - 18:30 as 20:10;;7;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4229;GESTÃO DE TECNOLOGIA DA INFORMAÇÃO;AD1;QUA - 18:30 as 20:10;SEG - 20:10 as 21:50;;5;OPTATIVA;DADM;DEPARATEMENTO DE ADMINISTRAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4704;INSTITUIÇÕES DE DIREITO;AD1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;3;;DECISO;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4109;INTRODUÇÃO À ADMINISTRAÇÃO;AD1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;1;;DADM;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4206;INTRODUÇÃO À CONTABILIDADE;AD1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;3;;DADM;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4106;INTRODUÇÃO À ECONOMIA;AD1;SEG - 20:10 as 21:50;QUI - 18:30 as 20:10;;1;;DECON;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4450;INTRODUÇÃO À SOCIOLOGIA;AD1;TER - 20:10 as 21:50;SEX - 18:30 as 20:10;;1;;DECISO;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4214;MARKETING I;AD1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;5;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6430;MATEMÁTICA;AD1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;1;;DM;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4309;PORTUGUÊS I;AD1;QUA - 18:30 as 20:10;SEX - 20:10 as 21:50;;1;;DL;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4204;PROCESSO DECISÓRIO;AD1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;3;;DADM;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5324;PSICOLOGIA ORGANIZACIONAL;AD1;SEG - 18:30 as 20:10;SEX - 20:10 as 21:50;;3;;DED;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4230;TÓPICOS ESPECIAIS EM ADMINISTRAÇÃO;AD1;QUA - 18:30 as 20:10;SEG - 20:10 as 21:50;;5;OPTATIVA;DADM;DEPARTAMENTO DE ADMINISTRAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4211;ADMINISTRAÇÃO DE MATERIAIS;AD3;SEG - 08:00 as 20:00;QUI - 10:00 as 12:00;;6;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4163;ADMINISTRAÇÃO FINANCEIRA;AD3;QUA - 10:00 as 12:00;SEX - 08:00 as 10:00;;6;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4209;ANÁLISE DE BALANÇOS;AD3;QUA - 10:00 as 12:00;SEX - 08:00 as 10:00;;4;;DADM;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4707;DIREITO ADMINISTRATIVO;AD3;SEG - 08:00 as 10:00;QUI - 10:00 as 12:00;;4;;DECISO;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4180;EMPREENDEDORISMO;AD3;TER - 10:00 as 12:00;QUI - 08:00 as 10:00;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4221;ESTÁGIO SUPERVISIONADO- ADMINISTRAÇÃO;AD3;QUA - 10:00 as 12:00;;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6275;ESTATÍSTICA BÁSICA;AD3;TER - 10:00 as 12:00;SEX - 08:00 as 10:00;;2;;DEINFO;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4590;ÉTICA PROFISSIONAL A;AD3;SEG - 10:00 as 12:00;QUA - 08:00 as 10:10;;8;;DECISO;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4216;GESTÃO AMBIENTAL E RESPONS. SOCIAL;AD3;TER - 10:00 as 12:00;QUI - 08:00 as 10:00;;6;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
